cell_ontology_class,platform,tissue,leiden_r1_0,n_cells
DN1 thymic pro-T cell,FACS,Marrow,24,0
DN1 thymic pro-T cell,FACS,Marrow,28,0
DN1 thymic pro-T cell,FACS,Marrow,31,0
DN1 thymic pro-T cell,FACS,Marrow,32,0
DN1 thymic pro-T cell,FACS,Marrow,34,0
DN1 thymic pro-T cell,FACS,Marrow,39,0
DN1 thymic pro-T cell,FACS,Marrow,43,0
DN1 thymic pro-T cell,FACS,Marrow,44,0
DN1 thymic pro-T cell,FACS,Spleen,0,0
DN1 thymic pro-T cell,FACS,Spleen,4,0
DN1 thymic pro-T cell,FACS,Spleen,5,0
DN1 thymic pro-T cell,FACS,Spleen,6,0
DN1 thymic pro-T cell,FACS,Spleen,9,0
DN1 thymic pro-T cell,FACS,Spleen,10,0
DN1 thymic pro-T cell,FACS,Spleen,11,0
DN1 thymic pro-T cell,FACS,Spleen,14,0
DN1 thymic pro-T cell,FACS,Spleen,17,0
DN1 thymic pro-T cell,FACS,Spleen,18,0
DN1 thymic pro-T cell,FACS,Spleen,19,0
DN1 thymic pro-T cell,FACS,Spleen,20,0
DN1 thymic pro-T cell,FACS,Spleen,23,0
DN1 thymic pro-T cell,FACS,Spleen,24,0
DN1 thymic pro-T cell,FACS,Spleen,28,0
DN1 thymic pro-T cell,FACS,Spleen,31,0
DN1 thymic pro-T cell,FACS,Spleen,32,0
DN1 thymic pro-T cell,FACS,Spleen,34,0
DN1 thymic pro-T cell,FACS,Spleen,39,0
DN1 thymic pro-T cell,FACS,Spleen,43,0
DN1 thymic pro-T cell,FACS,Spleen,44,0
DN1 thymic pro-T cell,FACS,Thymus,0,0
DN1 thymic pro-T cell,FACS,Thymus,4,0
DN1 thymic pro-T cell,FACS,Thymus,5,0
DN1 thymic pro-T cell,FACS,Thymus,6,0
DN1 thymic pro-T cell,FACS,Thymus,9,0
DN1 thymic pro-T cell,FACS,Thymus,10,0
DN1 thymic pro-T cell,FACS,Thymus,11,0
DN1 thymic pro-T cell,FACS,Thymus,14,0
DN1 thymic pro-T cell,FACS,Thymus,17,0
DN1 thymic pro-T cell,FACS,Thymus,18,0
DN1 thymic pro-T cell,FACS,Thymus,19,0
DN1 thymic pro-T cell,FACS,Thymus,20,0
DN1 thymic pro-T cell,FACS,Thymus,23,0
DN1 thymic pro-T cell,FACS,Thymus,24,0
DN1 thymic pro-T cell,FACS,Thymus,28,0
DN1 thymic pro-T cell,FACS,Thymus,31,0
DN1 thymic pro-T cell,FACS,Thymus,32,0
DN1 thymic pro-T cell,FACS,Thymus,34,0
DN1 thymic pro-T cell,FACS,Thymus,39,0
DN1 thymic pro-T cell,FACS,Thymus,43,0
DN1 thymic pro-T cell,FACS,Thymus,44,0
DN1 thymic pro-T cell,droplet,Kidney,0,0
DN1 thymic pro-T cell,droplet,Kidney,4,0
DN1 thymic pro-T cell,droplet,Kidney,5,0
DN1 thymic pro-T cell,droplet,Kidney,6,0
DN1 thymic pro-T cell,droplet,Kidney,9,0
DN1 thymic pro-T cell,droplet,Kidney,10,0
DN1 thymic pro-T cell,droplet,Kidney,11,0
DN1 thymic pro-T cell,droplet,Kidney,14,0
DN1 thymic pro-T cell,droplet,Kidney,17,0
DN1 thymic pro-T cell,droplet,Kidney,18,0
DN1 thymic pro-T cell,droplet,Kidney,19,0
DN1 thymic pro-T cell,droplet,Kidney,20,0
DN1 thymic pro-T cell,droplet,Kidney,23,0
DN1 thymic pro-T cell,droplet,Kidney,24,0
DN1 thymic pro-T cell,droplet,Kidney,28,0
DN1 thymic pro-T cell,droplet,Kidney,31,0
DN1 thymic pro-T cell,droplet,Kidney,32,0
DN1 thymic pro-T cell,droplet,Kidney,34,0
DN1 thymic pro-T cell,droplet,Kidney,39,0
DN1 thymic pro-T cell,droplet,Kidney,43,0
DN1 thymic pro-T cell,droplet,Kidney,44,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,0,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,4,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,5,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,6,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,9,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,10,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,11,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,14,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,17,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,18,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,19,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,20,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,23,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,24,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,28,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,31,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,32,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,34,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,39,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,43,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,44,0
