cell_ontology_class,platform,tissue,leiden_r1_0,n_cells
DN1 thymic pro-T cell,FACS,Mammary_Gland,49,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,50,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,53,0
DN1 thymic pro-T cell,FACS,Mammary_Gland,56,0
DN1 thymic pro-T cell,FACS,Marrow,0,0
DN1 thymic pro-T cell,FACS,Marrow,3,0
DN1 thymic pro-T cell,FACS,Marrow,4,0
DN1 thymic pro-T cell,FACS,Marrow,8,0
DN1 thymic pro-T cell,FACS,Marrow,9,0
DN1 thymic pro-T cell,FACS,Marrow,12,0
DN1 thymic pro-T cell,FACS,Marrow,13,0
DN1 thymic pro-T cell,FACS,Marrow,15,0
DN1 thymic pro-T cell,FACS,Marrow,18,0
DN1 thymic pro-T cell,FACS,Marrow,19,0
DN1 thymic pro-T cell,FACS,Marrow,20,0
DN1 thymic pro-T cell,FACS,Marrow,21,0
DN1 thymic pro-T cell,FACS,Marrow,25,0
DN1 thymic pro-T cell,FACS,Marrow,28,0
DN1 thymic pro-T cell,FACS,Marrow,32,0
DN1 thymic pro-T cell,FACS,Marrow,33,0
DN1 thymic pro-T cell,FACS,Marrow,36,0
DN1 thymic pro-T cell,FACS,Marrow,38,0
DN1 thymic pro-T cell,FACS,Marrow,39,0
DN1 thymic pro-T cell,FACS,Marrow,42,0
DN1 thymic pro-T cell,FACS,Marrow,44,0
DN1 thymic pro-T cell,FACS,Marrow,49,0
DN1 thymic pro-T cell,FACS,Marrow,50,0
DN1 thymic pro-T cell,FACS,Marrow,53,0
DN1 thymic pro-T cell,FACS,Marrow,56,0
DN1 thymic pro-T cell,FACS,Spleen,0,0
DN1 thymic pro-T cell,FACS,Spleen,3,0
DN1 thymic pro-T cell,FACS,Spleen,4,0
DN1 thymic pro-T cell,FACS,Spleen,8,0
DN1 thymic pro-T cell,FACS,Spleen,9,0
DN1 thymic pro-T cell,FACS,Spleen,12,0
DN1 thymic pro-T cell,FACS,Spleen,13,0
DN1 thymic pro-T cell,FACS,Spleen,15,0
DN1 thymic pro-T cell,FACS,Spleen,18,0
DN1 thymic pro-T cell,FACS,Spleen,19,0
DN1 thymic pro-T cell,FACS,Spleen,20,0
DN1 thymic pro-T cell,FACS,Spleen,21,0
DN1 thymic pro-T cell,FACS,Spleen,25,0
DN1 thymic pro-T cell,FACS,Spleen,28,0
DN1 thymic pro-T cell,FACS,Spleen,32,0
DN1 thymic pro-T cell,FACS,Spleen,33,0
DN1 thymic pro-T cell,FACS,Spleen,36,0
DN1 thymic pro-T cell,FACS,Spleen,38,0
DN1 thymic pro-T cell,FACS,Spleen,39,0
DN1 thymic pro-T cell,FACS,Spleen,42,0
DN1 thymic pro-T cell,FACS,Spleen,44,0
DN1 thymic pro-T cell,FACS,Spleen,49,0
DN1 thymic pro-T cell,FACS,Spleen,50,0
DN1 thymic pro-T cell,FACS,Spleen,53,0
DN1 thymic pro-T cell,FACS,Spleen,56,0
DN1 thymic pro-T cell,FACS,Thymus,0,0
DN1 thymic pro-T cell,FACS,Thymus,3,0
DN1 thymic pro-T cell,FACS,Thymus,4,0
DN1 thymic pro-T cell,FACS,Thymus,8,0
DN1 thymic pro-T cell,FACS,Thymus,9,0
DN1 thymic pro-T cell,FACS,Thymus,12,0
DN1 thymic pro-T cell,FACS,Thymus,13,0
DN1 thymic pro-T cell,FACS,Thymus,15,0
DN1 thymic pro-T cell,FACS,Thymus,18,0
DN1 thymic pro-T cell,FACS,Thymus,19,0
DN1 thymic pro-T cell,FACS,Thymus,20,0
DN1 thymic pro-T cell,FACS,Thymus,21,0
DN1 thymic pro-T cell,FACS,Thymus,25,0
DN1 thymic pro-T cell,FACS,Thymus,28,0
DN1 thymic pro-T cell,FACS,Thymus,32,0
DN1 thymic pro-T cell,FACS,Thymus,33,0
DN1 thymic pro-T cell,FACS,Thymus,36,0
DN1 thymic pro-T cell,FACS,Thymus,38,0
DN1 thymic pro-T cell,FACS,Thymus,39,0
DN1 thymic pro-T cell,FACS,Thymus,42,0
DN1 thymic pro-T cell,FACS,Thymus,44,0
DN1 thymic pro-T cell,FACS,Thymus,49,0
DN1 thymic pro-T cell,FACS,Thymus,50,0
DN1 thymic pro-T cell,FACS,Thymus,53,0
DN1 thymic pro-T cell,FACS,Thymus,56,0
DN1 thymic pro-T cell,droplet,Kidney,0,0
DN1 thymic pro-T cell,droplet,Kidney,3,0
DN1 thymic pro-T cell,droplet,Kidney,4,0
DN1 thymic pro-T cell,droplet,Kidney,8,0
DN1 thymic pro-T cell,droplet,Kidney,9,0
DN1 thymic pro-T cell,droplet,Kidney,12,0
DN1 thymic pro-T cell,droplet,Kidney,13,0
DN1 thymic pro-T cell,droplet,Kidney,15,0
DN1 thymic pro-T cell,droplet,Kidney,18,0
DN1 thymic pro-T cell,droplet,Kidney,19,0
DN1 thymic pro-T cell,droplet,Kidney,20,0
DN1 thymic pro-T cell,droplet,Kidney,21,0
DN1 thymic pro-T cell,droplet,Kidney,25,0
DN1 thymic pro-T cell,droplet,Kidney,28,0
DN1 thymic pro-T cell,droplet,Kidney,32,0
DN1 thymic pro-T cell,droplet,Kidney,33,0
DN1 thymic pro-T cell,droplet,Kidney,36,0
DN1 thymic pro-T cell,droplet,Kidney,38,0
DN1 thymic pro-T cell,droplet,Kidney,39,0
DN1 thymic pro-T cell,droplet,Kidney,42,0
DN1 thymic pro-T cell,droplet,Kidney,44,0
DN1 thymic pro-T cell,droplet,Kidney,49,0
DN1 thymic pro-T cell,droplet,Kidney,50,0
DN1 thymic pro-T cell,droplet,Kidney,53,0
